Z,A,EC_Halflife(s)
54,117,13.96503
54,118,644.69464
54,119,237.81927
54,120,6172.84863
54,121,191.24750
54,122,60453.04688
54,123,81819.37500
54,125,6082600.00000
54,127,6931471872.00000
55,106,0.00655
55,107,0.01393
55,108,0.01356
55,109,0.03905
55,110,0.06419
55,111,0.14213
55,112,0.18782
55,113,0.39399
55,114,0.42014
55,115,0.88780
55,116,1.22363
55,117,3.20644
55,118,5.03412
55,119,15.29941
55,120,14.95620
55,121,31.04191
55,122,10.29708
55,123,192.51480
55,124,624.43634
55,125,1939.92700
55,126,7099.06885
55,127,10191.63281
55,128,1556.96826
55,129,51879.62109
55,130,92709.91406
55,131,573747.56250
55,132,19784.93164
55,134,6931471872.00000
55,136,6931471872.00000
56,108,0.01303
56,109,0.01013
56,110,0.02718
56,111,0.03426
56,112,0.13591
56,113,0.14028
56,114,0.63298
56,115,0.27773
56,116,1.20109
56,117,1.96549
56,118,5.86800
56,119,5.34576
56,120,22.73085
56,121,9.23091
56,122,144.92680
56,123,22.56989
56,124,514.05670
56,125,415.32416
56,126,1779.39636
56,127,1829.28711
56,128,9544940.00000
56,129,549.29224
56,131,6931471872.00000
56,133,204379.26562
57,110,0.00483
57,111,0.00871
57,112,0.01055
57,113,0.02330
57,114,0.02755
57,115,0.12796
57,116,0.12393
57,117,0.33345
57,118,0.37460
57,119,1.09542
57,120,1.73192
57,121,4.06699
57,122,2.18231
57,123,7.84807
57,124,4.73980
57,125,21.95711
57,126,22.44186
57,127,58.92416
57,128,57.98017
57,129,343.52991
57,130,117.98041
57,131,1440.07739
57,132,6528.91797
57,133,14280.13086
57,134,14342.85156
57,135,99721.67188
57,136,23517.88867
57,137,595330.00000
57,138,6931471872.00000
58,113,0.00877
58,114,0.02257
58,115,0.02115
58,116,0.08594
58,117,0.07330
58,118,0.32408
58,119,0.33472
58,120,0.87352
58,121,0.91710
58,122,2.59583
58,123,1.53535
58,124,8.78818
58,125,4.81955
58,126,68.36684
58,127,44.33028
58,128,204.19368
58,129,133.27194
58,130,1120.18445
58,131,95.95153
58,132,54311.46094
58,133,13388.70605
58,134,695022.62500
58,135,6728.86377
58,137,13282.00000
58,139,6931471872.00000
59,115,0.00927
59,116,0.01106
59,117,0.02774
59,118,0.03154
59,119,0.09135
59,120,0.10912
59,121,0.22787
59,122,0.31466
59,123,0.52202
59,124,0.53816
59,125,1.24234
59,126,1.49924
59,127,3.31428
59,128,3.94682
59,129,7.23058
59,130,8.57239
59,131,27.67393
59,132,15.50466
59,133,103.36971
59,134,702.47180
59,135,325.08679
59,136,202.16248
59,137,1457.84741
59,138,456.19693
59,139,5610.66162
59,140,6931471872.00000
59,142,6931471872.00000
60,118,0.02131
60,119,0.02208
60,120,0.07527
60,121,0.09196
60,122,0.26517
60,123,0.26583
60,124,0.54740
60,125,0.40832
60,126,1.60440
60,127,1.25036
60,128,4.49885
60,129,6.13907
60,130,18.12346
60,131,3.86648
60,132,44.04704
60,133,15.22766
60,134,1136.86865
60,135,365.84119
60,136,2681.08496
60,137,700.77893
60,138,12827.32422
60,139,664.59686
60,140,1239236.75000
60,141,71303.78125
61,120,0.00793
61,121,0.01825
61,122,0.02373
61,123,0.06168
61,124,0.08508
61,125,0.12900
61,126,0.14966
61,127,0.31726
61,128,0.40837
61,129,0.79725
61,130,0.98413
61,131,2.16018
61,132,1.96885
61,133,3.53296
61,134,3.29476
61,135,51.39539
61,136,55.16119
61,137,43.83507
61,138,36.01757
61,139,156.43083
61,140,828.89050
61,141,323.96628
61,142,21484.04688
61,143,53007.80078
61,144,6931471872.00000
61,145,6931471872.00000
61,146,6931471872.00000
61,148,6931471872.00000
61,150,6931471872.00000
62,123,0.02083
62,124,0.05807
