n,z,halflife(Seconds),d-halflife
21,26,0.0219,0.0001999999999999988
21,28,0.0075,0.001
22,10,0.0035,0.0009
22,11,0.0081,0.0004000000000000006
22,12,0.02,0.009999999999999998
22,13,0.0376,0.0013999999999999985
22,14,0.45,0.06
22,15,2.31,0.1299999999999999
22,16,10218,41.99999999999909
22,17,3372,36.00000000000023
22,18,STABLE,
22,19,STABLE,
22,20,STABLE,
22,21,14007.6,43.19999999999982
22,22,1893456000,34713360
22,23,0.547,0.006000000000000005
22,24,0.26,0.06
22,25,0.088,0.0013000000000000025
22,26,0.0453,0.0005999999999999998
22,28,0.0185,0.0011999999999999997
23,11,0.005,0.0009000000000000006
23,12,0.011300000000000001,0.0005999999999999998
23,13,0.094,0.037000000000000005
23,14,0.09,0.06
23,15,0.64,0.14
23,16,11.5,0.5
23,17,81,1.1999999999999957
23,18,6576.6,2.400000000000091
23,19,44478,25.19999999999709
23,20,STABLE,
23,21,14292,144
23,22,11088,30
23,23,0.4225,0.00011000000000002674
23,24,0.5,0.015000000000000013
23,25,0.1581,0.0021999999999999936
23,26,0.06470000000000001,0.0002999999999999947
23,27,0.0388,0.00020000000000000226
23,28,0.0238,0.0001999999999999988
24,11,0.0018000000000000002,0.0004999999999999999
24,12,0.0058,0.0019000000000000004
24,13,0.0107,0.0013000000000000008
24,14,0.095,0.009999999999999995
24,15,0.28,0.039999999999999994
24,16,8.8,2.1999999999999997
24,17,38.4,0.7999999999999972
24,18,1038245040,34713360.00000006
24,19,80280,360.0000000000073
24,20,STABLE,
24,21,STABLE,
24,22,STABLE,
24,23,1956,17.999999999999886
24,24,77616,108.00000000000728
24,25,0.382,0.007000000000000006
24,26,0.155,0.010999999999999996
24,28,0.040799999999999996,0.00020000000000000226
24,30,0.00159,0.00047500000000000005
25,12,0.008,0.004
25,13,0.0076,0.0005999999999999994
25,14,0.0475,0.0020000000000000018
25,15,0.15,0.007999999999999993
25,16,2.6,0.014000000000000012
25,17,6.8,0.2999999999999998
25,18,322.2,3.599999999999966
25,19,1327.8,11.400000000000091
25,20,14049504.000000002,7776.000000000931
25,21,7239456.000000001,3456.0000000004657
25,22,STABLE,
25,23,1380110.4,216
25,24,2538,6.000000000000227
25,25,0.28319,0.00010000000000001674
25,26,0.305,0.0050000000000000044
25,27,0.10400000000000001,0.006999999999999999
25,28,0.055200000000000006,0.0007000000000000027
25,30,0.0198,0.0013000000000000008
26,13,0.0076,0.0015999999999999999
26,14,0.033,0.0010000000000000009
26,15,0.101,0.0049999999999999975
26,16,1.03,0.030000000000000027
26,17,3.1750000000000003,0.09000000000000008
26,18,712.1999999999999,3.000000000000057
26,19,1068.6,36.59999999999991
26,21,289370.88,51.83999999999651
26,22,STABLE,
26,23,28512000,1296000
26,25,2772,6.000000000000227
26,26,29790,28.799999999997453
26,27,0.24,0.020000000000000004
26,28,0.11420000000000001,0.00030000000000000165
26,29,0.027,0.008000000000000002
26,30,0.03,0.0016999999999999984
27,14,0.02,0.0024999999999999988
27,15,0.0485,0.0015000000000000013
27,16,0.273,0.026999999999999996
27,17,0.65,0.050000000000000044
27,18,21.48,0.14999999999999858
27,19,105,10
27,20,391910.39999999997,259.20000000001164
27,21,157212,324.00000000001455
27,22,STABLE,
27,24,2393496,207.36000000010245
27,25,483062.4,259.20000000001164
27,26,510.59999999999997,1.1999999999999602
27,27,0.193,0.007000000000000006
27,28,0.2047,0.003699999999999981
27,29,0.093,0.0030000000000000027
27,30,0.038,0.004
28,14,0.0125,0.0034999999999999996
28,15,0.0365,0.0014999999999999979
28,16,0.1,0.0010000000000000009
28,17,0.4,0.04300000000000001
28,18,8.4,0.5999999999999996
28,19,17.5,0.23999999999999844
28,21,3430.8,7.800000000000182
28,22,STABLE,
28,23,STABLE,
28,24,STABLE,
28,25,118025424000000,1262304000000
28,26,STABLE,
28,27,63108.00000000001,108.00000000000364
28,28,524880,863.9999999999709
28,29,0.1963,0.0006999999999999923
28,30,0.08600000000000001,0.008
29,15,0.0185,0.0025000000000000005
29,16,0.068,0.0020000000000000018
29,17,0.232,0.0020000000000000018
29,18,1.23,0.030000000000000027
29,19,6.83,0.020000000000000018
29,20,523.08,0.36000000000001364
29,21,102.5,0.5
29,22,345.59999999999997,0.5999999999999943
29,23,224.57999999999998,0.29999999999999716
29,24,STABLE,
29,25,26974080,17279.999999998137
29,26,86594054.4,284018.39999999106
29,27,6673190.4,2246.399999999441
29,28,128160,216.00000000000728
29,29,3.204,0.007000000000000117
29,30,0.182,0.00180000000000001
29,31,0.07,0.013000000000000001
29,32,0.044,0.006000000000000002
30,16,0.05,0.008
30,17,0.101,0.005999999999999998
30,18,0.424,0.023999999999999994
30,19,1.2630000000000001,0.04999999999999993
30,20,13.9,0.5999999999999996
30,21,12.4,0.09999999999999964
30,22,102,6.000000000000007
30,23,92.58,0.8400000000000034
30,24,STABLE,
30,25,STABLE,
30,26,STABLE,
30,27,23478336,5184
30,28,STABLE,
30,29,81.5,0.5
30,30,142.79999999999998,2.999999999999986
30,31,0.167,0.0030000000000000027
30,32,0.129,0.035
31,17,2.0000000000000002e-7,
31,18,0.23600000000000002,0.007999999999999993
31,19,0.47200000000000003,0.0040000000000000036
31,20,10,0.7999999999999998
31,21,0.2,0.2
31,22,32.7,0.8999999999999986
31,23,49.8,0.5
31,24,209.82,0.18000000000000682
31,25,9284.039999999999,0.36000000000149157
31,26,STABLE,
31,27,6122304,5184
31,28,2398377600000,157788000000
31,29,1422,23.999999999999886
31,30,89.1,0.20000000000000284
31,31,0.116121,0.000021000000000000185
31,32,0.15,0.008999999999999994
31,33,0.018000000000000002,0.025
31,34,0.033,0.003999999999999998
32,16,2.0000000000000002e-7,
32,17,1.7000000000000001e-7,
32,18,0.106,0.005999999999999998
32,19,0.365,0.0050000000000000044
32,20,4.6000000000000005,0.029999999999999805
32,21,2.4,0.6
32,22,2.1,1
32,23,6.54,0.15000000000000036
32,24,356.40000000000003,5.999999999999972
32,25,85.4,1.7999999999999972
32,26,STABLE,
32,27,STABLE,
32,28,STABLE,
32,29,12020.4,28.800000000000182
32,30,33069.6,46.79999999999927
32,31,32.4,0.5
32,32,63.7,2.5
32,33,0.128,0.016000000000000007
32,34,0.042,0.012
33,19,0.11,0.0050000000000000044
33,20,0.461,0.09000000000000002
33,21,0.526,0.015000000000000013
33,22,1.3,0.10000000000000009
33,23,0.216,0.0040000000000000036
33,24,21.1,1
33,25,3,0.10000000000000009
33,26,3844368,777.5999999998603
33,27,166344192,12096
33,28,STABLE,
33,29,580.38,0.4799999999999045
33,30,2308.2,2.9999999999997726
33,31,157.61999999999998,0.7199999999999989
33,32,30.9,0.5
33,33,0.09577,0.00023000000000000104
33,34,0.136,0.011999999999999997
33,36,0.028,0.0010000000000000009
34,19,0.03,0.005000000000000001
34,20,0.107,0.013999999999999999
34,21,0.096,0.0020000000000000018
34,22,0.2,0.0050000000000000044
34,23,0.34700000000000003,0.009999999999999981
34,24,7,0.2999999999999998
34,25,4.59,0.04999999999999982
34,26,82680912000000,1262304000000
34,27,5936.4,17.999999999999545
34,28,STABLE,
34,29,STABLE,
34,30,2.209032e+28,
34,31,912,11.999999999999943
34,32,8135.999999999999,179.9999999999991
34,33,42.5,1.2000000000000028
34,34,35.5,0.7000000000000028
34,36,0.04,0.005999999999999998
35,19,0.01,0.004999999999999999
35,20,0.022,0.002
35,21,0.031,0.005000000000000001
35,22,0.098,0.0050000000000000044
35,23,0.19,0.010000000000000009
35,24,1.05,0.09000000000000002
35,25,0.28,0.020000000000000018
35,26,358.8,3.599999999999966
35,27,90,2.4000000000000057
35,28,3193629120,47336400
35,29,45723.6,7.200000000000728
35,30,21075552,7776
35,31,34164,108
35,32,1134,18.000000000000114
35,33,151.6,0.8000000000000114
35,34,27.4,0.1999999999999993
35,35,0.07909999999999999,0.0008000000000000021
35,36,0.1,0.0030000000000000027
36,20,0.011,0.002
36,21,0.002,0.002
36,22,0.058,0.009000000000000001
36,23,0.092,0.009000000000000001
36,24,0.492,0.012999999999999984
36,25,0.709,0.007999999999999952
36,26,68,2
36,27,27.4,0.5
36,28,STABLE,
36,29,STABLE,
36,30,STABLE,
36,31,281810.88,43.20000000001164
36,32,23408352,11232
36,33,912,11.999999999999943
36,34,2466,17.999999999999773
36,35,21.4,0.6000000000000014
36,36,17.1,0.1999999999999993
36,38,0.027,0.008000000000000002
37,21,0.012,0.005000000000000001
37,22,0.0285,0.0024999999999999988
37,23,0.04,0.015
37,24,0.234,0.009999999999999995
37,25,0.092,0.012999999999999998
37,26,6.1,0.5999999999999996
37,27,0.3,0.02999999999999997
37,28,9063,1.8000000000010914
37,29,307.2,0.8400000000000034
37,30,STABLE,
37,31,4062.5999999999995,5.400000000000318
37,32,140580,360.00000000001455
37,33,3156,17.999999999999773
37,34,284.40000000000003,2.9999999999999716
37,35,78.6,2.4000000000000057
37,36,27.3,1
37,37,0.06490000000000001,0.0005000000000000004
37,38,0.088,0.0029999999999999957
38,22,0.0222,0.002
